MESH_ID	Dict_MESH
D000071378	{'D009140': 3, 'D005530': 2, 'D005531': 1, 'D000071378': 0}
D000071562	{'D014947': 2, 'D050723': 1, 'D000071562': 0}
D000071576	{'D014947': 1, 'D000071576': 0}
D000071698	{'D009750': 4, 'D008659': 3, 'D044882': 2, 'D003920': 1, 'D000071698': 0, 'D004700': 2, 'D007154': 2, 'D001327': 1}
D000071956	{'D014947': 3, 'D013898': 2, 'D006335': 1, 'D000071956': 0, 'D014949': 2, 'D003288': 1}
D000071960	{'D017437': 4, 'D012871': 3, 'D001941': 2, 'D001943': 1, 'D000071960': 0, 'D009369': 3, 'D009370': 4, 'D009375': 3, 'D002277': 2, 'D002278': 1, 'D009371': 2}
D000071997	{'D003933': 4, 'D019937': 3, 'D019411': 2, 'D008828': 1, 'D000071997': 0, 'D008919': 3}
D000072281	{'D006425': 2, 'D008206': 1, 'D000072281': 0}
D000072659	{'D004700': 2, 'D010900': 1, 'D000072659': 0, 'D009422': 5, 'D002493': 4, 'D001927': 3, 'D007027': 2}
D000072660	{'D000091642': 4, 'D000091662': 3, 'D005832': 2, 'D007248': 1, 'D000072660': 0, 'D007246': 2, 'D052801': 3}
D000072716	{'D013568': 4, 'D012816': 3, 'D009461': 2, 'D010146': 1, 'D000072716': 0}
D000072736	{'D064419': 2, 'D064420': 1, 'D000072736': 0}
D000072861	{'D001523': 3, 'D001008': 2, 'D010698': 1, 'D000072861': 0}
D000073605	{'D007239': 3, 'D001423': 5, 'D001424': 4, 'D016905': 3, 'D012288': 2, 'D012282': 1, 'D000073605': 0, 'D000079426': 2, 'D017282': 1}
D000073617	{'D006425': 3, 'D006402': 2, 'D065227': 1, 'D000073617': 0, 'D007154': 2, 'D012140': 4, 'D008171': 3, 'D055370': 2, 'D055371': 1}
D000073818	{'D013568': 4, 'D012816': 3, 'D009461': 2, 'D010146': 1, 'D000073818': 0}
D000073923	{'D013568': 3, 'D012816': 2, 'D012817': 1, 'D000073923': 0}
D000074042	{'D002318': 5, 'D014652': 4, 'D002561': 3, 'D020300': 2, 'D002543': 1, 'D000074042': 0, 'D013568': 5, 'D010335': 4, 'D006470': 3, 'D009422': 6, 'D002493': 5, 'D001927': 4}
D000074079	{'D017437': 2, 'D003240': 1, 'D000074079': 0, 'D007154': 2, 'D001327': 1}
D000074270	{'D004066': 4, 'D005767': 3, 'D007410': 2, 'D007415': 1, 'D000074270': 0}
D000074402	{'D013514': 2, 'D019637': 1, 'D000074402': 0}
D000074406	{'D013514': 3, 'D013517': 2, 'D013506': 1, 'D000074406': 0}
D000074682	{'D013514': 4, 'D013519': 3, 'D013520': 2, 'D009392': 1, 'D000074682': 0}
D000074868	{'D013514': 4, 'D013507': 3, 'D002369': 2, 'D010052': 1, 'D000074868': 0, 'D013519': 3, 'D013509': 2, 'D058994': 1}
D000074962	{'D002318': 3, 'D006331': 2, 'D017202': 1, 'D000074962': 0, 'D014652': 2, 'D007154': 2, 'D006967': 1}
D000075222	{'D002318': 3, 'D014652': 2, 'D006973': 1, 'D000075222': 0}
D000075562	{'D013568': 6, 'D012816': 5, 'D009461': 4, 'D019954': 3, 'D010468': 2, 'D006212': 1, 'D000075562': 0, 'D001520': 4, 'D009422': 5}
D000075662	{'D013568': 3, 'D010335': 2, 'D005119': 1, 'D000075662': 0, 'D064419': 2, 'D064420': 1}
D000076322	{'D017530': 4, 'D011787': 3, 'D015981': 2, 'D015897': 1, 'D000076322': 0, 'D004778': 4, 'D011634': 3}
D000077192	{'D009369': 5, 'D009370': 4, 'D009375': 3, 'D002277': 2, 'D000230': 1, 'D000077192': 0, 'D009371': 4, 'D013899': 3, 'D012142': 2, 'D008175': 1}
D000077195	{'D009369': 3, 'D009370': 4, 'D009375': 3, 'D002277': 2, 'D002294': 1, 'D000077195': 0, 'D009371': 2, 'D006258': 1}
D000077216	{'D004700': 3, 'D004701': 2, 'D010051': 1, 'D000077216': 0, 'D006058': 3, 'D010049': 2, 'D009369': 4, 'D009370': 3, 'D009375': 2, 'D002277': 1, 'D009371': 3, 'D000091642': 4, 'D005261': 5, 'D052776': 4, 'D005831': 4, 'D000291': 3, 'D014565': 3, 'D005833': 2, 'D000091662': 5}
D000077260	{'D055687': 4, 'D009424': 3, 'D012890': 2, 'D012894': 1, 'D000077260': 0, 'D013568': 2, 'D012816': 1}
D000077273	{'D004700': 3, 'D004701': 2, 'D013964': 1, 'D000077273': 0, 'D013959': 2, 'D009369': 4, 'D009370': 5, 'D009375': 4, 'D002277': 3, 'D000230': 2, 'D000231': 1, 'D009371': 3, 'D006258': 2}
D000077277	{'D009369': 4, 'D009370': 4, 'D009375': 3, 'D002277': 2, 'D002294': 1, 'D000077277': 0, 'D018307': 2, 'D009371': 3, 'D004067': 3, 'D005770': 2, 'D004938': 1, 'D006258': 2, 'D004066': 4, 'D005767': 3, 'D004935': 2}
D000077684	{'D009422': 4, 'D009468': 3, 'D010523': 2, 'D009408': 1, 'D000077684': 0, 'D011115': 2, 'D011129': 1}
D000077733	{'D007154': 2, 'D001327': 1, 'D000077733': 0}
D000077740	{'D006730': 3, 'D006728': 2, 'D036361': 1, 'D000077740': 0, 'D000602': 3, 'D010455': 2, 'D011506': 2, 'D011498': 1}
D000078542	{'D013514': 2, 'D013505': 1, 'D000078542': 0}
D000078663	{'D001520': 2, 'D010551': 1, 'D000078663': 0, 'D010553': 2, 'D012649': 1}
D000079562	{'D001523': 2, 'D001068': 1, 'D000079562': 0, 'D004066': 2, 'D005767': 1}
D000079689	{'D013568': 4, 'D012816': 3, 'D012817': 2, 'D003248': 1, 'D000079689': 0, 'D064419': 3, 'D019966': 2, 'D000079524': 1, 'D001523': 3}
D000080039	{'D002318': 3, 'D018376': 2, 'D006330': 1, 'D000080039': 0, 'D006331': 2, 'D009358': 4, 'D000013': 3}
D000080041	{'D002318': 4, 'D018376': 3, 'D006330': 2, 'D014188': 1, 'D000080041': 0, 'D006331': 3, 'D009358': 5, 'D000013': 4}
D000080203	{'D012140': 5, 'D008171': 4, 'D017563': 3, 'D011658': 2, 'D054990': 1, 'D000080203': 0}
D000080223	{'D017437': 4, 'D012871': 3, 'D017445': 2, 'D014581': 1, 'D000080223': 0, 'D007154': 4, 'D006967': 3, 'D006969': 2, 'D013568': 4, 'D010335': 3, 'D020969': 2, 'D002908': 1}
D000080324	{'D005128': 2, 'D005124': 1, 'D000080324': 0, 'D014603': 2, 'D015862': 1}
D000080343	{'D005128': 2, 'D005141': 1, 'D000080343': 0}
D000080344	{'D005128': 2, 'D015785': 1, 'D000080344': 0, 'D009901': 1, 'D009358': 3, 'D000013': 2, 'D009421': 1, 'D030342': 2, 'D009422': 2, 'D003389': 2}
D000080362	{'D005128': 2, 'D015785': 1, 'D000080362': 0, 'D012164': 3, 'D012162': 2, 'D008268': 1, 'D009358': 3, 'D030342': 2}
D000080365	{'D005128': 4, 'D012164': 3, 'D012173': 2, 'D002825': 1, 'D000080365': 0, 'D014603': 4, 'D015862': 3, 'D002833': 2, 'D014605': 4, 'D015864': 3, 'D015866': 2, 'D000080363': 1, 'D007154': 2, 'D001327': 1}
D000080424	{'D013568': 4, 'D010335': 3, 'D007249': 2, 'D018746': 1, 'D000080424': 0, 'D012769': 2}
D000080883	{'D000091642': 5, 'D005261': 4, 'D011248': 3, 'D007744': 2, 'D004420': 1, 'D000080883': 0}
D000080983	{'D006425': 3, 'D006402': 2, 'D001855': 1, 'D000080983': 0}
D000081011	{'D013568': 4, 'D010335': 3, 'D007511': 2, 'D007238': 1, 'D000081011': 0, 'D009336': 2, 'D004066': 2, 'D008107': 1}
D000081012	{'D007154': 2, 'D001327': 1, 'D000081012': 0, 'D004066': 4, 'D010182': 3, 'D010195': 2, 'D050500': 1, 'D013568': 5, 'D010335': 4, 'D020969': 3, 'D002908': 2}
D000081015	{'D010038': 2, 'D004427': 1, 'D000081015': 0, 'D013568': 2, 'D010335': 1, 'D064419': 2, 'D064420': 1, 'D014947': 2, 'D011832': 1, 'D055585': 4, 'D011827': 3, 'D000069079': 2}
D000081028	{'D005128': 3, 'D009901': 2, 'D020221': 1, 'D000081028': 0, 'D013568': 2, 'D010335': 1, 'D064419': 2, 'D064420': 1, 'D014947': 2, 'D011832': 1, 'D055585': 4, 'D011827': 3, 'D000069079': 2, 'D009422': 4, 'D003389': 3, 'D020209': 2, 'D020196': 4, 'D006259': 3}
D000081029	{'D012140': 3, 'D008171': 2, 'D006976': 1, 'D000081029': 0}
D000081084	{'D014947': 1, 'D000081084': 0}
D000081207	{'D009358': 2, 'D030342': 1, 'D000081207': 0, 'D007154': 2, 'D007153': 1}
D000082122	{'D013568': 3, 'D020763': 2, 'D006547': 1, 'D000082122': 0}
D000082602	{'D009358': 3, 'D000013': 2, 'D009139': 1, 'D000082602': 0, 'D009140': 2, 'D007592': 3, 'D004204': 2, 'D006617': 1}
D000082843	{'D004700': 3, 'D006058': 2, 'D010049': 1, 'D000082843': 0, 'D013568': 3, 'D020763': 2, 'D014102': 1, 'D000091642': 5, 'D005261': 5, 'D052776': 4, 'D005831': 3, 'D000291': 2, 'D000091662': 4}
D000082862	{'D002318': 3, 'D006331': 2, 'D006349': 1, 'D000082862': 0}
D000082922	{'D003933': 4, 'D019937': 3, 'D019411': 2, 'D008828': 1, 'D000082922': 0, 'D008919': 3}
D000083082	{'D002318': 3, 'D014652': 2, 'D001157': 1, 'D000083082': 0}
D000083242	{'D002318': 4, 'D014652': 3, 'D002561': 2, 'D020521': 1, 'D000083242': 0, 'D009422': 5, 'D002493': 4, 'D001927': 3}
D000083244	{'D002318': 5, 'D014652': 4, 'D002561': 3, 'D020521': 2, 'D000083242': 1, 'D000083244': 0, 'D009422': 6, 'D002493': 5, 'D001927': 4}
D000083262	{'D002318': 5, 'D014652': 4, 'D002561': 3, 'D020521': 2, 'D000083242': 1, 'D000083262': 0, 'D009422': 6, 'D002493': 5, 'D001927': 4}
D000083402	{'D009358': 4, 'D000013': 3, 'D018376': 2, 'D054079': 1, 'D000083402': 0, 'D002318': 3}
D000084002	{'D007239': 4, 'D001423': 4, 'D009181': 3, 'D003881': 2, 'D014005': 1, 'D000084002': 0, 'D012874': 3, 'D017437': 4, 'D012871': 3, 'D003872': 2, 'D007402': 1, 'D017443': 2}
D000084462	{'D013568': 3, 'D012816': 2, 'D001832': 1, 'D000084462': 0, 'D014947': 2, 'D018882': 1}
D000085343	{'D007239': 1, 'D000085343': 0}
D000086002	{'D009369': 5, 'D009370': 4, 'D009375': 3, 'D000236': 2, 'D008654': 1, 'D000086002': 0, 'D018301': 2, 'D009371': 4, 'D013899': 3, 'D012142': 2, 'D008175': 1, 'D010997': 1, 'D012140': 3, 'D008171': 2}
D000086582	{'D013568': 5, 'D012816': 4, 'D009461': 3, 'D012678': 2, 'D000857': 1, 'D000086582': 0, 'D009422': 4}
D000086722	{'D013568': 3, 'D012816': 2, 'D012818': 1, 'D000086722': 0}
D000086966	{'D007239': 2, 'D001423': 2, 'D001424': 1, 'D000086966': 0, 'D015047': 1, 'D000820': 2}
D000087122	{'D013568': 4, 'D012816': 3, 'D009461': 2, 'D019954': 1, 'D000087122': 0, 'D009422': 3, 'D001520': 2}
D000087525	{'D055585': 4, 'D011827': 3, 'D000069079': 2, 'D011832': 1, 'D000087525': 0, 'D004778': 5, 'D011634': 4, 'D004787': 4, 'D004781': 3, 'D011870': 3, 'D011830': 2, 'D013568': 3, 'D010335': 2, 'D005355': 1, 'D014947': 2}
D000089083	{'D013568': 2, 'D012816': 1, 'D000089083': 0}
D000089965	{'D017437': 3, 'D012871': 2, 'D004890': 1, 'D000089965': 0, 'D013568': 4, 'D012816': 3, 'D012877': 2, 'D014947': 2, 'D002056': 1}
D000090463	{'D009750': 3, 'D008659': 2, 'D019189': 1, 'D000090463': 0}
D000092142	{'D009358': 3, 'D000013': 2, 'D004065': 1, 'D000092142': 0, 'D004066': 2, 'D010182': 1}
D000092162	{'D013568': 3, 'D012816': 2, 'D020924': 1, 'D000092162': 0}
D000092164	{'D005128': 2, 'D005132': 1, 'D000092164': 0, 'D005141': 1}
D000092223	{'D009422': 4, 'D009421': 3, 'D054220': 2, 'D065703': 1, 'D000092223': 0, 'D009358': 5, 'D000013': 4}
D000092342	{'D005128': 4, 'D014603': 3, 'D015862': 2, 'D020256': 1, 'D000092342': 0, 'D013568': 5, 'D010335': 4, 'D008679': 3, 'D009389': 2}
D000092423	{'D005128': 2, 'D003316': 1, 'D000092423': 0}
D000092462	{'D014947': 3, 'D050723': 2, 'D000092443': 1, 'D000092462': 0}
D000092504	{'D014947': 2, 'D050723': 1, 'D000092504': 0}
D000092663	{'D005128': 3, 'D005141': 2, 'D001762': 1, 'D000092663': 0}
D000093222	{'D010811': 3, 'D001690': 2, 'D001695': 1, 'D000093222': 0, 'D006281': 4, 'D008511': 3, 'D010336': 2, 'D010338': 1}
D000094222	{'D009422': 4, 'D009461': 3, 'D020879': 2, 'D018908': 1, 'D000094222': 0, 'D013568': 3, 'D010335': 2, 'D012816': 4, 'D009140': 3, 'D009135': 2}
D000094302	{'D014780': 4, 'D004267': 3, 'D004263': 2, 'D027383': 1, 'D000094302': 0, 'D009858': 3}
D000094482	{'D017437': 5, 'D012871': 4, 'D017445': 3, 'D014581': 2, 'D000080223': 1, 'D000094482': 0, 'D007154': 5, 'D006967': 4, 'D006969': 3, 'D013568': 5, 'D010335': 4, 'D020969': 3, 'D002908': 2}
D000126	{'D009750': 3, 'D008659': 2, 'D000137': 1, 'D000126': 0, 'D004066': 3, 'D005767': 2, 'D013272': 1}
